feature,importance
num__premium_amount,0.06032794533635179
num__coverage_amount,0.06003631161337781
num__income_level,0.06003290383127813
num__deductible,0.05999523986838613
num__credit_score,0.059038207430263584
num__age,0.05327720389510907
num__claim_history,0.03258676053536656
num__previous_claims_history,0.027546940265875806
cat__segmentation_group_Segment5,0.010561396429843023
cat__policy_type_Group,0.010438964412199065
cat__marital_status_Divorced,0.010406006717770342
cat__marital_status_Married,0.010324352130820775
cat__segmentation_group_Segment2,0.010179425764578816
cat__policy_type_Family,0.009901822836879851
cat__segmentation_group_Segment3,0.009520646857964485
cat__segmentation_group_Segment4,0.009502909351917966
cat__policy_type_Business,0.009401901857098756
cat__education_level_Doctorate,0.00928315509875136
cat__marital_status_Single,0.009222990265933297
cat__marital_status_Separated,0.009031049868140042
cat__education_level_Associate Degree,0.009025773065205966
cat__marital_status_Widowed,0.00896230936559579
cat__policy_type_Individual,0.008946694798694067
cat__education_level_Master's Degree,0.008559403377223825
cat__behavioral_data_policy2,0.008475655882271902
cat__segmentation_group_Segment1,0.00842044030621912
cat__occupation_Salesperson,0.008260306749926817
cat__occupation_Entrepreneur,0.00819912418701469
cat__behavioral_data_policy3,0.007735417933287021
cat__behavioral_data_policy1,0.007670418127353625
cat__occupation_Engineer,0.007609927140034167
cat__occupation_Doctor,0.007603214883735615
cat__occupation_Manager,0.0075735306850146485
cat__occupation_Artist,0.007530715002198511
cat__education_level_Bachelor's Degree,0.007512432295131499
cat__occupation_Teacher,0.00739250825507899
cat__behavioral_data_policy4,0.00724863900834576
cat__behavioral_data_policy5,0.007183623156610492
cat__occupation_Lawyer,0.007075102880032937
cat__education_level_High School Diploma,0.00682967054753402
cat__occupation_Nurse,0.006608277079945976
cat__gender_Male,0.0051628198010463715
cat__gender_Female,0.005111452144525877
cat__purchase_history_03-12-2018,0.0008887655885680319
cat__purchase_history_5/14/2019,0.0005488165767952908
cat__purchase_history_11/22/2022,0.0005333143542500068
cat__purchase_history_9/21/2018,0.0005082797490920169
cat__purchase_history_02-03-2022,0.0004761096805084415
cat__purchase_history_1/17/2022,0.00047532916045798476
cat__purchase_history_10/16/2019,0.0004654770460625145
cat__purchase_history_5/24/2020,0.00045280735713478936
cat__purchase_history_2/13/2022,0.0004467632270903657
cat__purchase_history_2/22/2022,0.00044344846375054213
cat__purchase_history_1/13/2022,0.0004432347059278576
cat__purchase_history_1/24/2023,0.0004418989402504156
cat__purchase_history_3/24/2018,0.00044031783633149925
cat__purchase_history_12-12-2020,0.00043807127293974475
cat__purchase_history_7/22/2023,0.00043425601546362463
cat__purchase_history_12-02-2018,0.0004323462393347785
cat__purchase_history_02-02-2019,0.00043033747608838186
cat__purchase_history_8/27/2019,0.0004279996974865787
cat__purchase_history_05-05-2018,0.00042457007691212867
cat__purchase_history_5/15/2022,0.0004203852943606843
cat__purchase_history_11/14/2021,0.0004164431830197623
cat__purchase_history_01-10-2023,0.00041613668387531825
cat__purchase_history_03-11-2022,0.0003981506465483041
cat__purchase_history_6/23/2021,0.00039792742325878134
cat__purchase_history_11/28/2023,0.0003975658412079578
cat__purchase_history_2/18/2020,0.00039460170048025004
cat__purchase_history_09-09-2021,0.00039351742187886774
cat__purchase_history_1/15/2022,0.00039213974942533083
cat__purchase_history_9/20/2021,0.0003894548956424041
cat__purchase_history_4/17/2023,0.0003891922966603999
cat__purchase_history_3/22/2019,0.00038485875663240313
cat__purchase_history_11/17/2020,0.00037868039483093065
cat__purchase_history_12-05-2019,0.00037348176160813913
cat__purchase_history_05-10-2022,0.00036855107231929584
cat__purchase_history_2/20/2018,0.0003664209663871367
cat__purchase_history_12/14/2019,0.0003648974901446078
cat__purchase_history_12/14/2021,0.0003621506720641424
cat__purchase_history_7/16/2019,0.0003610942880277474
cat__purchase_history_10/18/2022,0.00036066063623634535
cat__purchase_history_10/18/2023,0.0003540475469108504
cat__purchase_history_08-03-2021,0.00034999343680416076
cat__purchase_history_09-12-2021,0.00034987580060420607
cat__purchase_history_7/17/2023,0.00034985033807981194
cat__purchase_history_7/21/2021,0.0003426196105563412
cat__purchase_history_08-01-2023,0.00034174015831088344
cat__purchase_history_01-06-2019,0.00034161480067131474
cat__purchase_history_05-04-2023,0.00034103486681581334
cat__purchase_history_07-09-2022,0.0003404683958065154
cat__purchase_history_12-07-2020,0.00034027232643553493
cat__purchase_history_11/20/2019,0.00033811936663012454
cat__purchase_history_7/28/2022,0.0003370018920802862
cat__purchase_history_3/13/2023,0.0003368770396633976
cat__purchase_history_01-11-2019,0.00033680614502488683
cat__purchase_history_09-11-2019,0.0003362465288500898
cat__purchase_history_7/23/2020,0.0003342250437634889
cat__purchase_history_07-07-2018,0.00033397652512695656
cat__purchase_history_8/28/2019,0.00033367428107549735
cat__purchase_history_3/27/2022,0.00033333317713919687
cat__purchase_history_2/27/2021,0.00033242628749529876
cat__purchase_history_10/24/2018,0.00033075456523020894
cat__purchase_history_09-05-2023,0.00033045832644698603
cat__purchase_history_11/28/2019,0.00033043739018707053
cat__purchase_history_12/27/2023,0.0003294856308962801
cat__purchase_history_4/15/2021,0.00032893511194619616
cat__purchase_history_01-06-2020,0.0003285266747422759
cat__purchase_history_05-02-2020,0.0003284748125950508
cat__purchase_history_9/27/2022,0.0003284039980286994
cat__purchase_history_10/19/2023,0.0003283641300810721
cat__purchase_history_09-06-2023,0.00032653339371325194
cat__purchase_history_03-07-2020,0.00032633987861378837
cat__purchase_history_12-07-2021,0.0003258212221207196
cat__purchase_history_4/14/2020,0.00032454828060799563
cat__purchase_history_12/18/2022,0.0003243034569873325
cat__purchase_history_4/19/2021,0.0003235915882890652
cat__purchase_history_6/18/2022,0.0003229921291204581
cat__purchase_history_5/26/2018,0.0003225907090840866
cat__purchase_history_7/28/2021,0.00031921553271944096
cat__purchase_history_10/14/2020,0.0003182090428102465
cat__purchase_history_8/18/2020,0.0003177205793357707
cat__purchase_history_5/21/2023,0.0003156045224185486
cat__purchase_history_6/18/2020,0.0003151876488143179
cat__purchase_history_11-01-2020,0.00031495430594096597
cat__purchase_history_3/22/2018,0.00031488704383290196
cat__purchase_history_12/14/2018,0.00031417494492424586
cat__purchase_history_7/22/2020,0.000312631448053741
cat__purchase_history_04-06-2022,0.00031095450920520616
cat__purchase_history_12-10-2023,0.0003107337771993774
cat__purchase_history_3/14/2023,0.000309958334352038
cat__purchase_history_6/22/2022,0.0003099497837217312
cat__purchase_history_03-08-2019,0.0003098974138852531
cat__purchase_history_09-04-2020,0.00030768539202490693
cat__purchase_history_03-08-2023,0.00030656684070990326
cat__purchase_history_8/21/2019,0.0003065380907437583
cat__purchase_history_5/21/2021,0.00030564887590095284
cat__purchase_history_2/18/2021,0.000304135110083514
cat__purchase_history_09-11-2022,0.00030291823246780103
cat__purchase_history_11-05-2022,0.00030194316397494174
cat__purchase_history_07-10-2018,0.00030012874803892283
cat__purchase_history_04-07-2021,0.00030003922217741193
cat__purchase_history_12/24/2019,0.00029828187093876833
cat__purchase_history_09-10-2022,0.0002976551567438594
cat__purchase_history_6/25/2023,0.0002976290265576254
cat__purchase_history_10/21/2019,0.0002973458202008842
cat__purchase_history_05-06-2022,0.0002964970561841907
cat__purchase_history_4/17/2022,0.0002960171718845273
cat__purchase_history_09-12-2022,0.00029586716917990897
cat__purchase_history_9/22/2020,0.0002955262329917434
cat__purchase_history_8/21/2023,0.000295390296880264
cat__purchase_history_5/19/2018,0.00029513810424563433
